timestamp,plant_type,condition,confidence,latitude,longitude,gps_valid
2026-03-28T12:04:01.150560,"Pepper, bell",healthy,0.6884,,,False
2026-03-28T12:07:10.669722,"Pepper, bell",healthy,0.6884,,,False
2026-03-28T12:07:55.027708,"Pepper, bell",healthy,0.6884,,,False
2026-03-28T12:08:59.877064,"Pepper, bell",healthy,0.6884,,,False
2026-03-28T12:09:05.772979,"Pepper, bell",healthy,0.6884,,,False
2026-03-28T12:11:48.198822,Apple,Cedar apple rust,0.9998,,,False
2026-03-28T12:12:33.029075,Apple,Cedar apple rust,0.9998,,,False
2026-03-28T12:12:47.359838,Corn (maize),Northern Leaf Blight,0.9859,,,False
2026-03-28T12:17:00.698005,Corn (maize),Northern Leaf Blight,0.9859,,,False
2026-03-28T12:17:07.799215,Corn (maize),Northern Leaf Blight,0.9859,,,False
2026-03-28T12:17:13.138642,Corn (maize),Northern Leaf Blight,0.9859,,,False
2026-03-28T12:18:37.015113,"Pepper, bell",Bacterial spot,0.6879,,,False
2026-03-28T12:19:23.402172,Cherry (including sour),Powdery mildew,0.4072,,,False
2026-03-28T12:21:42.951187,Apple,Black rot,0.9821,,,False
2026-03-28T12:24:16.283668,Potato,healthy,0.7489,,,False
2026-03-28T12:25:31.700835,Potato,healthy,0.7489,,,False
2026-03-28T12:29:22.836890,Potato,healthy,0.7489,,,False
2026-03-28T12:31:06.759831,Peach,Bacterial spot,0.9385,,,False
2026-03-28T12:31:54.925056,Apple,Apple scab,0.7034,,,False
2026-03-28T12:32:19.057638,Apple,Apple scab,0.7034,,,False
2026-03-28T12:32:29.907585,Apple,Apple scab,0.7034,,,False
2026-03-28T12:32:37.278593,Apple,Apple scab,0.7034,,,False
2026-03-28T12:35:00.042795,Corn (maize),healthy,0.4635,,,False
2026-03-28T12:39:08.053214,Apple,Apple scab,0.7034,,,False
2026-03-28T12:40:49.051333,Corn (maize),Common rust ,0.8646,,,False
2026-03-28T12:46:10.340245,Apple,Apple scab,0.7034,,,False
2026-03-28T12:46:24.011257,Apple,Apple scab,0.7034,,,False
2026-03-28T12:52:28.333894,"Pepper, bell",Bacterial spot,0.6879,,,False
2026-03-28T12:59:11.377852,Strawberry,Leaf scorch,0.5124,,,False
2026-03-28T12:59:37.899194,Strawberry,Leaf scorch,0.5124,,,False
2026-03-28T13:00:06.616582,Apple,healthy,0.5328,,,False
2026-03-28T13:00:29.382149,Corn (maize),Common rust ,0.9999,,,False
2026-03-28T13:01:09.214674,Tomato,Leaf Mold,0.9181,,,False
2026-03-28T13:02:23.172702,Tomato,Leaf Mold,0.9181,,,False
2026-03-28T13:03:12.976544,Tomato,Leaf Mold,0.9181,,,False
2026-03-28T13:03:27.630554,Apple,Cedar apple rust,1.0000,,,False
2026-03-28T13:06:38.090359,Apple,Cedar apple rust,1.0000,,,False
2026-03-28T13:06:51.306952,Blueberry,healthy,0.6051,,,False
2026-03-28T13:07:22.767661,Strawberry,Leaf scorch,0.5124,,,False
2026-03-28T13:09:17.334079,Strawberry,Leaf scorch,0.5124,,,False
2026-03-28T13:10:06.641796,Strawberry,Leaf scorch,0.5124,,,False
2026-03-28T13:12:36.832751,"Pepper, bell",Bacterial spot,0.7391,,,False
2026-03-28T13:13:36.906657,Peach,Bacterial spot,0.8231,,,False
2026-03-28T13:13:55.954685,Peach,Bacterial spot,0.8231,,,False
2026-03-28T13:14:09.172167,Corn (maize),Common rust ,0.9999,,,False
2026-03-28T13:15:00.238065,Blueberry,healthy,0.6051,,,False
2026-03-28T13:16:15.788591,Blueberry,healthy,0.6051,,,False
2026-03-28T13:18:36.710714,Corn (maize),healthy,0.8453,,,False
2026-03-28T13:19:02.689709,Tomato,Leaf Mold,0.9181,,,False
2026-03-28T13:19:48.354065,Apple,Cedar apple rust,1.0000,,,False
2026-03-28T13:29:49.331895,Blueberry,healthy,0.6051,,,False
2026-03-28T13:29:59.929530,Apple,Cedar apple rust,1.0000,,,False
2026-03-28T13:30:37.076114,Corn (maize),Common rust ,0.9999,,,False
2026-03-28T13:31:00.787289,Tomato,Leaf Mold,0.9181,,,False
2026-03-28T13:34:23.362574,Tomato,Leaf Mold,0.9181,,,False
2026-03-28T13:35:55.969414,Tomato,Leaf Mold,0.9181,,,False
2026-03-28T13:37:22.747628,Tomato,Leaf Mold,0.9181,,,False
2026-03-28T13:38:34.103946,Corn (maize),Common rust ,0.9999,,,False
2026-03-28T13:41:56.838888,Blueberry,healthy,0.6051,,,False
2026-03-28T13:43:25.502869,Tomato,Leaf Mold,0.9181,,,False
2026-03-28T14:30:50.023119,Corn (maize),healthy,0.9824,,,False
2026-03-28T14:31:21.845558,Tomato,Leaf Mold,0.9181,,,False
2026-03-28T14:34:17.008836,"Pepper, bell",Bacterial spot,0.7391,,,False
2026-03-28T14:34:38.811478,"Pepper, bell",Bacterial spot,0.7391,,,False
2026-03-28T14:34:46.713269,Blueberry,healthy,0.6051,,,False
2026-03-28T14:35:01.417339,Blueberry,healthy,0.6051,,,False
2026-03-28T14:39:38.087772,Corn (maize),Northern Leaf Blight,0.9892,,,False
2026-03-28T14:43:03.392081,Strawberry,Leaf scorch,0.6842,,,False
2026-03-28T14:43:37.065779,Strawberry,Leaf scorch,0.6842,,,False
2026-03-28T14:44:00.452868,Strawberry,Leaf scorch,0.6842,,,False
2026-03-28T14:44:29.835006,Tomato,Leaf Mold,0.9181,,,False
2026-03-28T14:48:56.220297,Apple,Black rot,0.8874,,,False
2026-03-28T14:49:56.624731,Corn (maize),Common rust ,0.9999,,,False
2026-03-28T14:50:21.511939,Corn (maize),Common rust ,0.9999,,,False
2026-03-28T14:50:34.096221,Corn (maize),Common rust ,0.9999,,,False
2026-03-28T14:54:55.256880,Corn (maize),Common rust ,0.9999,,,False
2026-03-28T14:55:54.303968,Corn (maize),Common rust ,0.9999,,,False
2026-03-28T14:56:16.374605,Corn (maize),Common rust ,0.9999,,,False
2026-03-28T15:13:58.109044,Apple,Apple scab,1.0000
2026-03-28T15:14:40.507348,Apple,Apple scab,0.9996
2026-03-28T15:16:08.774301,Apple,Black rot,0.9982
2026-03-28T15:26:47.156009,Apple,Black rot,0.9982
2026-03-28T15:26:54.080954,Apple,Black rot,0.9982
2026-03-28T15:27:15.627363,Corn (maize),Common rust ,0.9999
2026-03-28T16:30:01.649760,Corn (maize),Common rust ,0.9999
2026-03-28T16:30:03.013152,Corn (maize),Common rust ,0.9999
2026-03-28T16:30:19.585907,Corn (maize),Common rust ,0.9999
2026-03-28T16:30:47.767265,Corn (maize),Common rust ,0.9999
2026-03-28T16:31:07.635783,Corn (maize),Common rust ,0.9999
2026-03-28T16:43:12.509880,Orange,Haunglongbing (Citrus greening),1.0000
2026-03-28T16:44:03.462540,Grape,Black rot,1.0000
2026-03-28T16:44:24.364103,Orange,Haunglongbing (Citrus greening),1.0000
2026-03-28T16:45:08.677445,Apple,Apple scab,0.9998
2026-03-28T16:45:29.765204,Corn (maize),healthy,0.9824
2026-03-28T16:57:47.514625,Corn (maize),healthy,0.8453
2026-03-28T17:03:20.866420,Tomato,Tomato Yellow Leaf Curl Virus,0.9999
2026-03-28T18:19:25.611239,Apple,Black rot,0.9995
2026-03-28T18:19:36.911473,Apple,Black rot,0.9933
2026-03-28T18:27:40.007042,Corn (maize),Northern Leaf Blight,0.9978
2026-03-28T18:36:16.123948,Tomato,Early blight,0.9490
2026-03-28T19:08:09.551077,Grape,Esca (Black Measles),1.0000
2026-03-28T19:09:02.071663,Grape,Esca (Black Measles),1.0000
2026-03-28T19:11:00.577151,Apple,Black rot,0.9998
2026-06-11T04:14:04.040355,Cherry (including sour),Powdery mildew,0.6991
2026-06-11T04:19:25.758273,"Pepper, bell",healthy,0.9439
2026-06-11T04:20:05.370283,"Pepper, bell",healthy,0.9439
2026-06-11T04:20:22.821471,Tomato,Septoria leaf spot,0.8144
2026-06-11T12:37:10.684231,Tomato,Septoria leaf spot,0.8144
2026-06-11T12:39:26.482538,"Pepper, bell",healthy,0.9439
2026-06-11T12:40:31.840725,Tomato,Septoria leaf spot,0.8144
2026-06-11T12:47:02.289770,"Pepper, bell",healthy,0.9439
2026-06-11T12:48:01.291836,"Pepper, bell",healthy,0.9439
2026-06-11T12:48:30.142427,"Pepper, bell",healthy,0.9439
